scenario_id,topology,profile,method,K,coverage_pct,frontier_coverage_pct,trial,seed,mappo_tag,std_coverage_pct,raw_coverage_pct,solver_status,mip_gap,result_file
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,1,58.40277777777778,58.40277777777778,,,,,58.40277777777778,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k1.npy
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,2,98.66666666666667,98.66666666666667,,,,,98.66666666666667,2,0.013513513513513514,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k2.npy
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,3,99.875,99.875,,,,,99.875,2,0.0012515644555694619,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k3.npy
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,4,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k4.npy
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,5,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k5.npy
0,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,6,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id0_k6.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,1,60.09217456734387,60.09217456734387,,,,,60.09217456734387,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k1.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,2,79.627539503386,79.627539503386,,,,,79.627539503386,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k2.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,3,90.6132430398796,90.6132430398796,,,,,90.6132430398796,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k3.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,4,99.9247554552295,99.9247554552295,,,,,99.9247554552295,2,0.0007530120481927711,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k4.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,5,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k5.npy
1,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,6,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id1_k6.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,1,55.08583690987125,55.08583690987125,,,,,55.08583690987125,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k1.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,2,71.64520743919886,71.64520743919886,,,,,71.64520743919886,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k2.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,3,79.37768240343348,79.37768240343348,,,,,79.37768240343348,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k3.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,4,87.1101573676681,87.1101573676681,,,,,87.1101573676681,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k4.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,5,93.55507868383405,93.55507868383405,,,,,93.55507868383405,9,inf,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k5.npy
2,CROSS,VELODYNE64_R30,MILP_BUDGET,6,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id2_k6.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,1,52.175000000000004,52.175000000000004,,,,,52.175000000000004,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k1.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,2,95.50833333333333,95.50833333333333,,,,,95.50833333333333,2,0.04702905505627781,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k2.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,3,99.76666666666667,99.76666666666667,,,,,99.76666666666667,2,0.0023387905111927833,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k3.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,4,99.9625,99.9625,,,,,99.9625,2,0.0003751406777541578,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k4.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,5,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k5.npy
3,STRAIGHT,VELODYNE64_R30,MILP_BUDGET,6,100.0,100.0,,,,,100.0,SKIPPED_PROVEN_FULL_COVERAGE,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id3_k6.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,1,46.304267333148196,46.304267333148196,,,,,46.304267333148196,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k1.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,2,73.25048597611774,73.25048597611774,,,,,73.25048597611774,2,0.034846618014090294,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k2.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,3,87.8714246042766,87.8714246042766,,,,,87.8714246042766,2,0.0005530536462036818,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k3.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,4,99.15301305193002,99.15301305193002,,,,,99.15301305193002,2,0.00011669700788871774,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k4.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,5,99.15301305193002,99.15301305193002,,,,,99.15301305193002,2,0.008542220977454138,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k5.npy
6,CROSS,VELODYNE64_R30,MILP_BUDGET,6,99.9930574840322,99.9930574840322,,,,,99.9930574840322,2,6.942997986530584e-05,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id6_k6.npy
9,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,1,51.04504504504504,51.04504504504504,,,,,51.04504504504504,SKIPPED_EXACT_K1,0.0,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id9_k1.npy
9,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,2,78.87162162162163,78.87162162162163,,,,,78.87162162162163,2,0.0059967446243467835,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id9_k2.npy
9,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,3,88.64864864864866,88.64864864864866,,,,,88.64864864864866,2,0.03282520325203252,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id9_k3.npy
9,T_JUNCTION,VELODYNE64_R30,MILP_BUDGET,4,96.12387387387388,96.12387387387388,,,,,96.12387387387388,2,0.040324281262447574,results/journal_r30_top10_20260707/milp/milp_velodyne64_r30_journal_r30_top10_20260707_id9_k4.npy
